SKU,Product Title,QTY,Expiring QTY,Days till Expiration,Sell Out in Days,Unit Cost,Retail Price,Net Weight,Unit Gross Weight (g),Vendor-L,Farm Level,Product Type,Cacaonum,Allergens,Awards,Chocolate Type,Diet Icons,Exceeds Sellout,Source Country,Inclusion or Flavor,Tags-L
A-ALN-100,Al Nassma Camel Milk Chocolate,49,49,219,39,$3.00,$11.50,70,74.84,Al Nassma,Farm 1,Chocolate Bars,46,"Contains Dairy,Sesame Free,Trace Soy,Trace Tree Nuts,Gluten Free,Peanut Free",,"Milk,Plain","Milk Alternative,No Gluten,No Soy,No Tree Nuts",-179.97,Blend,,"distribution,expiring-now,marginmid,mcountry-United Arab Emirates,weird"
A-ALN-200,Al Nassma Camel Milk Chocolate w/ Dates,65,65,219,266,$3.00,$11.50,70,74.84,Al Nassma,Farm 1,Chocolate Bars,46,"Contains Dairy,Sesame Free,Trace Soy,Trace Tree Nuts,Gluten Free,Peanut Free",,"Inclusions,Milk","Halal,Milk Alternative,No Gluten,No Soy,No Tree Nuts",46.91,Blend,Fruit,"distribution,marginmid,mcountry-United Arab Emirates,weird"
A-ALN-203,Al Nassma Camel Milk Chocolate w/ Hazelnuts,28,28,219,252,$3.30,$12.50,70,77.11,Al Nassma,Farm 1,Chocolate Bars,36,"Contains Dairy,Sesame Free,Trace Soy,Gluten Free,Contains Tree Nuts,Peanut Free",,"Inclusions,Milk","Milk Alternative,No Gluten,No Soy",33,Blend,"Nuts,Hazelnut","distribution,marginmid,mcountry-United Arab Emirates,weird"
A-ALN-204,Al Nassma Camel Milk Chocolate w/ Arabia Spice,57,57,219,244,$3.00,$11.50,70,74.84,Al Nassma,Farm 1,Chocolate Bars,36,"Contains Dairy,Sesame Free,Trace Soy,Trace Tree Nuts,Gluten Free,Peanut Free",,"Inclusions,Milk","Halal,Milk Alternative,No Gluten,No Soy,No Tree Nuts",25.29,Blend,Spice,"distribution,marginmid,mcountry-United Arab Emirates,weird"
A-ALN-205,Al Nassma Camel Milk Chocolate w/ Macadamia Orange,49,49,219,147,$3.00,$11.50,70,74.84,Al Nassma,Farm 1,Chocolate Bars,46,"Contains Dairy,Sesame Free,Trace Soy,Gluten Free,Peanut Free,Contains Tree Nuts",,"Inclusions,Milk","Halal,Milk Alternative,No Gluten,No Soy",-72,Blend,"Fruit,Nuts,Macadamia,Orange","distribution,marginmid,mcountry-United Arab Emirates,weird"
A-ALN-250,Samha Dubai Chocolate Milk Edition (Kunafa Pistachio Bar),245,245,226,501,$4.00,$18.00,110,99.22,Al Nassma,Farm 1,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Trace Soy,Contains Tree Nuts,Contains Gluten,Sesame Free",,"Milk,Inclusions","Halal,No Soy",275.14,,"Pistachio,Nuts","black-friday,distribution,mcountry-United Arab Emirates"
A-ALN-251,Samha Dubai Chocolate Dark Edition (Kunafa Pistachio Bar),304,304,226,380,$4.00,$18.00,110,99.22,Al Nassma,Farm 1,Chocolate Bars,70,"Contains Dairy,Trace Peanuts,Trace Soy,Contains Tree Nuts,Contains Gluten,Sesame Free",,"Inclusions,Filled,Dark","Halal,No Soy",154,,"Pistachio,Nuts","black-friday,coming-soon,distribution,mcountry-United Arab Emirates"
A-AMA-202,Amano Cardamom Pepper 60%,14,14,401,315,$5.85,$15.00,85,102.06,Amano Artisan Chocolate,"Farm 1,Farm 2",Chocolate Bars,60,"Trace Dairy,Trace Peanuts,Sesame Free,Trace Soy,Trace Tree Nuts,Trace Gluten",,"Dark,Flavored,Inclusions","Kosher Check,Kosher,Vegan,No Gluten,No Soy,No Tree Nuts,No Dairy",-86,Dominican Republic,,"marginlow,mcountry-United States,region-Guayas"
A-AME-100,Amedei Chuao 70%,80,20,401,189,$8.93,$19.00,50,58.97,Amedei,"Farm 1,Farm 2",Chocolate Bars,70,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free","AOC silver 2024,AOC silver 2023","Dark,Plain","Kosher Dairy,Kosher,No Gluten,No Soy,No Tree Nuts,No Dairy",-211.53,Venezuela,,"has-award,marginmid,mcountry-Italy,region-Aragua"
A-AME-103,Amedei Toscano Black 80%,66,18,401,149,$4.06,$9.25,50,58.97,Amedei,"Farm 1,Farm 2",Chocolate Bars,80,"Trace Dairy,Peanut Free,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",AOC silver 2024,"Dark,Plain","Kosher Dairy,Kosher,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-252.5,Blend,,"has-award,marginmid,mcountry-Italy"
